"id","title","description","link"
651,ReactJS,"ReactJS adalah library JavaScript populer buatan Facebook yang digunakan dalam proses pengembangan aplikasi mobile dan web. React berisi kumpulan snippet kode JavaScript (komponen) yang bisa digunakan berulang kali untuk mendesain UI (Antarmuka Pengguna).<br /><br />Perlu diketahui bahwa ReactJS bukanlah framework JavaScript, karena hanya bertugas untuk merender komponen layer tampilan aplikasi. React adalah alternatif untuk framework seperti Angular dan Vue, yang sama-sama bisa digunakan untuk membuat fungsi yang kompleks.<br /><br />Apa kelebihan React? <br />Beberapa kelebihan React yang membuatnya menjadi favorit para developer dibanding kompetitornya adalah:<br />1. Mudah digunakan dan dipelajari, serta ada banyak materi coding yang tersedia online.<br />2. Mendukung komponen yang bisa digunakan lagi sehingga mempersingkat proses development.<br />3. JSX mempermudah coding dan rendering elemen.<br />4. Virtual DOM meniadakan rendering ulang berlebih sehingga performa aplikasi Anda terus maksimal.<br />5. React membantu mesin pencari crawling aplikasi web Anda, serta memaksimalkan SEO.<br /><br />ReactJS Course ditujukan bagi peserta yang ingin mendapatkan pemahaman yang lebih dalam tentang React yang berfokus pada materi Create React App, React Components, React States, React Props, React Props Validation, React Constructor, Component Life Cycle, Controlled vs Uncontrolled, Conditional Rendering, React Lists, React Refs, React Fragments, React Router, React CSS, React Map &amp; Table, React Context &amp; Hooks, React Flux Concept, React Redux, &amp; React Portals.<br /><br />Kami berharap course ini dapat memenuhi kebutuhan anda dalam menambah insight maupun mendukung pekerjaan anda. Anda dapat ikut aktif mengisi kolom diskusi interaktif yang terdapat di tiap section video learning, dan apabila telah menyelesaikan course ini anda dapat memberikan bintang serta komentar terbaik berdasarkan pengalaman anda dalam mengakses course ReactJS.<br /><br />Selamat Belajar.",https://mydigilearn.id/courses/651/reactjs
758,Sistem Pemerintahan Berbasis Elektronik (SPBE),"Pengalaman industri dalam standardisasi arsitektur IT (termasuk Telkom), mengindikasikan pemerintah membutuhkan banyak bantuan. Salah satu standar indikator yang berlaku di kalangan pemerintah daerah adalah SPBE (Sistem Pemerintahan Berbasis Elektronik).SPBE memberi peluang untuk mendorong dan mewujudkan penyelenggaraan pemerintahan yang terbuka, partisipatif, inovatif, dan akuntabel, meningkatkan kolaborasi antar instansi pemerintah dalam melaksanakan urusan dan tugas pemerintahan untuk mencapai tujuan bersama, meningkatkan kualitas dan jangkauan pelayanan publik kepada masyarakat luas, dan menekan tingkat penyalahgunaan kewenangan dalam bentuk kolusi, korupsi, dan nepotisme melalui penerapan sistem pengawasan dan pengaduan masyarakat berbasis elektronik. Telkom memiliki posisi kuat memberikan akses bantuan peningkatan nilai indikator SPBE ini secara serentak.",https://mydigilearn.id/courses/758/sistem-pemerintahan-berbasis-elektronik-spbe
611,Digital Modern Work - Office 365,"<p class=""ql-align-justify"">Microsoft office 365 merupakan paket layanan produk terbaru yang dikeluarkan oleh Microsoft. Sebagai inovasi terbaru, aplikasi Microsoft Office 365 tentu memiliki lebih banyak fitur dan kelebihan yang dapat dirasakan oleh para penggunanya. Singkatnya software ini berguna untuk mempermudah pekerjaan para user nya dalam mengakses informasi maupun menyimpan pekerjaan mereka. Salah satu aplikasi Microsoft yang satu ini diperkenalkan dengan berkinerja lebih aman, sederhana, dan produktif daripada aplikasi keluaran sebelumnya.<p class=""ql-align-justify""><br><p class=""ql-align-justify""> Selain itu, user tidak perlu menginstal hardware dan software yang biasanya digunakan untuk mempermudah tugas atau pekerjaan. Penggunaan aplikasi ini juga sangat fleksibel karena pengguna bisa menggunakan aplikasi ini melalui PC, MAC, atapun Smartphone. Layanan berbasis komputasi awan (Cloud Computing) ini memungkinkan kita tidak perlu menginstal layanan di komputer atau perangkat, cukup dengan koneksi internet saja. Jika pengguna berlangganan paket Office 365 ini, maka aplikasi yang didapat diantaranya Microsoft office, Excel, PowerPoint, Outlook, OneNote, Publisher OneDrive, Skype for Business, SharePoint, Yammer, dan lainnya.",https://mydigilearn.id/courses/611/digital-modern-work-office-365
752,jQuery Mobile,"<span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255);"">Pengertian jQuery adalah sebuah framework berbasis Java-Script. jQuery sama dengan JavaScript Library, yaitu kumpulan kode atau fungsi JavaScript siap pakai sehingga mempermudah dan mempercepat kita dalam membuat kode JavaScript. <br><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255);"">jQuery pertama kali dirilis pada tahun 2006 oleh John Resig. JQuery memiliki slogan “Write Less, Do More” yang artinya kesederhanaan dalam penulisan code, tapi dengan hasil yang lebih banyak. Selanjutnya jQuery akan berkembang lebih jauh untuk perangkat mobile yang dinamakan jQuery Mobile. Dengan kemudahan yang ada pada jQuery Mobile akan sangat membantu dalam membuat sendiri aplikasi untuk web mobile phone. Aplikasi ini akan membuat mobile phone Anda menjadi lebih asyik digunakan. jQuery Mobile pada prinsipnya adalah sebuah web framework atau bingkai kerja siap pakai yang ramah untuk gadget dengan desain layar sentuh.<br><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255);"">Course jQuery Mobile ditujukan bagi peserta yang ingin mendapatkan pemahaman yang lebih dalam tentang Pages, Icon &amp; Transitions, Layouts, Widgets &amp; Events, Form &amp; Themes, CSS Classes, dan Data Attributes.<br><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255);"">Kami berharap course ini dapat memenuhi kebutuhan anda dalam menambah insight maupun mendukung pekerjaan anda. Anda dapat ikut aktif mengisi kolom diskusi interaktif yang terdapat di tiap section video learning, dan apabila telah menyelesaikan course ini anda dapat memberikan bintang serta komentar terbaik berdasarkan pengalaman anda dalam mengakses course jQuery Mobile.<br><br><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255);"">Selamat Belajar.<br>",https://mydigilearn.id/courses/752/jquery-mobile
638,Agribisnis Pengolahan Hasil Perikanan Berbasis Produksi Bersih,Agribisnis Pengolahan Hasil Perikanan Berbasis Produksi Bersih,https://mydigilearn.id/courses/638/agribisnis-pengolahan-hasil-perikanan-berbasis-produksi-bersih
832,Design Bootcamp for 3D Artist,"<span style=""color: rgb(0, 0, 0)"">Design Bootcamp merupakan metoda dalam proses pembelajaran terkait design proses yang memadukan aktivitas self learning, classical dan mentoring untuk role 3D Artist.",https://mydigilearn.id/courses/832/design-bootcamp-for-3d-artist
648,JavaScript Advance,"<p style=""text-align: justify;"">JavaScript adalah bahasa pemrograman yang wajib dikuasai oleh seorang web developer. Bahasa ini awalnya digunakan untuk membuat sebuah website menjadi lebih interaktif. Dalam perkembangannya, JavaScript tidak lagi hanya digunakan pada browser, melainkan juga bisa berjalan pada server. Ini berarti JavaScript digunakan di seluruh bagian website, mulai dari front-end hingga back-end. Bahkan, kini JavaScript mulai merambah ke platform lain seperti mobile, desktop, dan game.
<p style=""text-align: justify;"">Sebelum mengakses course ini, peserta diharapkan dapat mengakses dan menyelesaikan terlebih dahulu course JavaScript Intermediate di link berikut <span style=""color: #ff0000;""><a style=""color: #ff0000;"" href=""https://mydigilearn.id/course/627/javascript-intermediate"" target=""_blank"" rel=""noopener"">https://mydigilearn.id/course/627/javascript-intermediate</a>
<p style=""text-align: justify;"">JavaScript Advance course ditujukan bagi peserta yang ingin mendapatkan pemahaman yang lebih dalam tentang JavaScript yang berfokus pada materi Rest Parameters, Spread Syntax, Variable Scope, Nested Function, Lexical Environment, Garbage Collection, Property Getters and Setter, Accessor Descriptors, Prototypal Inheritance, for..in loop, F.prototype, Constructor Property, Inheritance Static Properties and Methods, Error Handling and ""try...catch"", Optional ""Catch"" Binding, Throw and Rethrowing, Callbacks Handling Errors, Promise, Then Catch Cleanup and Finally, Promises Chaining, Microtasks &amp; Async - Awaits

<style>
p {
	padding-bottom: 10px;		
}
</style>",https://mydigilearn.id/courses/648/javascript-advance
144,Product Knowledge Managed SD-WAN Services,Course Product Knowledge Managed SD-WAN Services ini dirancang untuk dapat meningkatkan awareness dan knowledge terhadap produk Managed SD-WAN Services<br>Peserta akan mempelajari:<br>1. Overview Managed SD-WAN Services<br>2. Product Overview<br>3. Product Features<br>4. IT Tools &amp; Mekanisme Order,https://mydigilearn.id/courses/144/product-knowledge-managed-sd-wan-services
691,Introduction to Digital Skill in Digital Era,"Penerapan teknologi berbasis digital banyak kita jumpai, bahkan dalam kegiatan sehari-hari kita. Terlebih lagi hal tersebut juga sudah digunakan oleh beberapa perusahaan agar pekerjaan menjadi efisien dan efektif yang juga memberikan kepuasan pelanggan secara maksimal. Sehubungan dengan hal tersebut, digital skill menjadi sebuah urgensi dan hal penting yang harus dimiliki oleh talent, agar selalu relevan dengan zaman. Pada course ini, kamu dapat mempelajari digital skill secara mendasar sebagai start point pengembangan diri untuk tetap relevan terhadap industri masa kini dan memberikan impact yang besar terhadap proses bekerja di organisasi dan juga pengembangan produk, khususnya pada proses dan produk digital.",https://mydigilearn.id/courses/691/introduction-to-digital-skill-in-digital-era
657,Introduction to Digital Skill,"Penerapan teknologi berbasis digital banyak kita jumpai, bahkan dalam kegiatan sehari-hari kita. Terlebih lagi hal tersebut juga sudah digunakan oleh beberapa perusahaan agar pekerjaan menjadi efisien dan efektif yang juga memberikan kepuasan pelanggan secara maksimal. Sehubungan dengan hal tersebut, digital skill menjadi sebuah urgensi dan hal penting yang harus dimiliki oleh talent, agar selalu relevan dengan zaman. Pada course ini, kamu dapat mempelajari digital skill secara mendasar sebagai start point pengembangan diri untuk tetap relevan terhadap industri masa kini dan memberikan impact yang besar terhadap proses bekerja di organisasi dan juga pengembangan produk, khususnya pada proses dan produk digital.",https://mydigilearn.id/courses/657/introduction-to-digital-skill
